Title,Year,Runtime
Kate & Leopold,2001,118
"The Good, the Bad and the Ugly",1966,161
Chitty Chitty Bang Bang,1968,144
Once Upon a Time in the West,1968,165
Willy Wonka & the Chocolate Factory,1971,100
The Other Side of the Wind,2018,122
Immoral Tales,1973,103
Monty Python and the Holy Grail,1975,91
Richard Pryor: Live in Concert,1979,78
Popeye,1980,114
Urban Cowboy,1980,132
Raiders of the Lost Ark,1981,115
The Evil Dead,1981,85
Tootsie,1982,116
Indiana Jones and the Temple of Doom,1984,118
The Natural,1984,138
Back to the Future,1985,116
The Money Pit,1986,91
Bloodsport,1988,92
Hamburger Hill,1987,110
La Bamba,1987,108
Killer Klowns from Outer Space,1988,88
The Naked Gun: From the Files of Police Squad!,1988,85
Back to the Future Part II,1989,108
Indiana Jones and the Last Crusade,1989,127
Back to the Future Part III,1990,118
The Naked Gun 2½: The Smell of Fear,1991,85
The Crying Game,1992,112
The Last Days of Chez Nous,1992,93
Patriot Games,1992,117
Raising Cain,1992,92
Groundhog Day,1993,101
Sliver,1993,107
Above the Rim,1994,96
Ace Ventura: Pet Detective,1994,86
Major League II,1994,105
Ri¢hie Ri¢h,1994,95
GoldenEye,1995,130
Mortal Kombat,1995,101
Outbreak,1995,127
DragonHeart,1996,103
The First Wives Club,1996,103
Jerry Maguire,1996,139
Austin Powers: International Man of Mystery,1997,94
Chasing Amy,1997,113
Event Horizon,1997,96
Kiss the Girls,1997,115
As Good as It Gets,1997,139
Tomorrow Never Dies,1997,119
Deep Impact,1998,120
The Mask of Zorro,1998,136
A Night at the Roxbury,1998,82
Corpse Bride,2005,77
Elizabeth,1998,124
The Matrix,1999,136
The Rugrats Movie,1998,79
The World Is Not Enough,1999,128
Austin Powers: The Spy Who Shagged Me,1999,95
Where the Money Is,2000,89
What Lies Beneath,2000,130
Stuart Little,1999,84
Romeo Must Die,2000,115
Lagaan: Once Upon a Time in India,2001,224
How the Grinch Stole Christmas,2000,104
Bad Boys II,2003,147
Magnolia,1999,188
Minority Report,2002,145
Terminator 3: Rise of the Machines,2003,109
Rugrats in Paris: The Movie,2000,78
Beyond the Mat,1999,102
Blow,2001,124
The Matrix Reloaded,2003,138
The Matrix Revolutions,2003,129
Stuart Little 2,2002,77
40 Days and 40 Nights,2002,96
Y Tu Mamá También,2001,106
Die Another Day,2002,133
Road to Perdition,2002,117
Scary Movie 2,2001,83
Jimmy Neutron: Boy Genius,2001,82
What a Girl Wants,2003,105
Austin Powers in Goldmember,2002,94
The Core,2003,135
Final Destination 2,2003,90
The Cat in the Hat,2003,82
Resident Evil: Apocalypse,2004,94
Melvin Goes to Dinner,2003,83
Martin Lawrence Live: Runteldat,2002,113
Mystic River,2003,138
Rugrats Go Wild,2003,80
The Polar Express,2004,100
Kal Ho Naa Ho,2003,186
Inglourious Basterds,2009,153
Nappily Ever After,2018,98
Soul Plane,2004,86
The Squid and the Whale,2005,81
Swades,2004,210
Charlie and the Chocolate Factory,2005,115
Indiana Jones and the Kingdom of the Crystal Skull,2008,122
Chicken Little,2005,81
Guess Who,2005,105
Kung Fu Hustle,2004,99
The Rum Diary,2011,119
She Hate Me,2004,138
Bee Movie,2007,91
Bolt,2008,96
Sin City,2005,124
Underworld: Evolution,2006,106
Elizabeth: The Golden Age,2007,114
Final Destination 3,2006,93
The Spiderwick Chronicles,2008,96
Jarhead,2005,125
The Stanford Prison Experiment,2015,122
Gridiron Gang,2006,125
The Curious Case of Benjamin Button,2008,166
Trailer Park Boys: The Movie,2006,95
Dinner for Schmucks,2010,114
Failure to Launch,2006,97
Resident Evil: Extinction,2007,94
Terminator Salvation,2009,115
Initial D,2005,107
"Yours, Mine & Ours",2005,88
Scott Pilgrim vs. the World,2010,112
Hancock,2008,92
Jodhaa Akbar,2008,213
Kabhi Alvida Naa Kehna,2006,193
The Pursuit of Happyness,2006,117
The Death of Mr. Lazarescu,2005,153
Nacho Libre,2006,92
Black Snake Moan,2006,116
Freedom Writers,2007,123
There Will Be Blood,2007,158
World Trade Center,2006,129
United 93,2006,111
"Hail, Caesar!",2016,106
Chronicle of an Escape,2006,103
Bon Cop Bad Cop,2006,116
Madagascar: Escape 2 Africa,2008,89
The Croods,2013,98
Oceans,2009,104
The Princess and the Frog,2009,97
Imagine That,2009,107
Dallas Buyers Club,2013,117
The Dirt,2019,107
Carriers,2009,84
The Danish Girl,2015,119
The Love Guru,2008,87
Drillbit Taylor,2008,110
Underworld: Rise of the Lycans,2009,92
The Duchess,2008,110
The Last Airbender,2010,103
The Adventures of Tintin,2011,107
Like Stars on Earth,2007,165
The Knight Before Christmas,2019,92
Zack and Miri Make a Porno,2008,101
The Iron Lady,2011,105
Homecoming: A Film by Beyoncé,2019,137
A Serious Man,2009,106
Atlantics,2019,106
Om Shanti Om,2007,162
Cadillac Records,2008,109
Silver Linings Playbook,2012,122
The Invention of Lying,2009,100
The Pixar Story,2007,88
Cloverfield,2008,85
Yes Man,2008,104
Race to Witch Mountain,2009,98
"Bikram: Yogi, Guru, Predator",2019,86
The Longshots,2008,94
"The Goods: Live Hard, Sell Hard",2009,89
Blue Valentine,2010,112
A Tale of Love and Darkness,2015,95
District 9,2009,112
The Final Destination,2009,82
Dance Flick,2009,83
The Company Men,2010,104
From Paris with Love,2010,92
Moon,2009,97
Ninja Assassin,2009,99
3 Idiots,2009,170
2012,2009,158
Lawless,2012,116
Kill the Messenger,2014,112
Resident Evil: Afterlife,2010,96
Ip Man,2008,106
Get Him to the Greek,2010,109
Same Kind of Different as Me,2017,119
Billu,2009,137
The Tourist,2010,103
Den of Thieves,2018,140
Sex and the City 2,2010,146
The Roommate,2011,91
The Social Network,2010,120
Cats & Dogs: The Revenge of Kitty Galore,2010,82
Raajneeti,2010,163
Kung Fu Panda 2,2011,90
Despicable Me,2010,95
Tinker Tailor Soldier Spy,2011,122
Good People,2014,90
Karthik Calling Karthik,2010,135
Inception,2010,148
Cop Out,2010,107
The Other Guys,2010,107
Shimmer Lake,2017,83
Ip Man 2,2010,108
Revenge of the Green Dragons,2014,94
For Colored Girls,2010,133
Senna,2010,106
Arthur Christmas,2011,97
Big Miracle,2012,107
Dhobi Ghat,2010,100
Guzaarish,2010,126
14 Blades,2010,114
Dream House,2011,84
The Grandmaster,2013,130
Triple Frontier,2019,125
Haywire,2011,93
The Tribes of Palos Verdes,2017,104
The Vatican Tapes,2015,91
Horns,2013,120
W.E.,2011,119
What Happened to Monday,2017,123
Judy Moody and the Not Bummer Summer,2011,91
Country Strong,2010,117
Zindagi Na Milegi Dobara,2011,155
For Greater Glory: The True Story of Cristiada,2012,145
Forks Over Knives,2011,96
War Horse,2011,146
House at the End of the Street,2012,101
Catfish,2010,87
Soul Surfer,2011,112
Jupiter Ascending,2015,127
Murder Mystery,2019,97
Bleed for This,2016,117
Young Adult,2011,94
Shark Night 3D,2011,90
Johnny English Reborn,2011,101
"Love, Rosie",2014,102
My Week with Marilyn,2011,99
The Perks of Being a Wallflower,2012,103
Cut Bank,2014,93
The Sapphires,2012,103
Come Sunday,2018,106
Ek Main Aur Ekk Tu,2012,110
The Spectacular Now,2013,95
Beyond Skyline,2017,106
Barely Lethal,2015,96
No One Killed Jessica,2011,136
Secret in Their Eyes,2015,111
Jersey Boys,2014,134
Killing Them Softly,2012,97
Apollo 18,2011,86
Stonehearst Asylum,2014,112
Jiro Dreams of Sushi,2011,81
I Am Kalam,2010,88
Demonic,2015,83
Aarakshan,2011,164
Django Unchained,2012,165
End of Watch,2012,109
Phantom Boy,2015,84
The Highwaymen,2019,132
